,behavior,ID,turtle.name,date,treatment,group,nest.number,avgcount,trans
1,breath (count),L169,Michael,1/15/2019,clean plastic,A,1,3,0.477121255
2,breath (count),L169,Michael,1/17/2019,food,A,1,10,1
3,breath (count),L169,Michael,1/25/2019,conditioned plastic,A,1,3.5,0.544068044
4,breath (count),L169,Michael,1/31/2019,dh2o,A,1,5,0.698970004
5,breath (count),L170,Dwight,1/15/2019,dh2o,A,1,4.5,0.653212514
6,breath (count),L170,Dwight,1/23/2019,food,A,1,8,0.903089987
7,breath (count),L170,Dwight,1/25/2019,clean plastic,A,1,5,0.698970004
8,breath (count),L170,Dwight,1/31/2019,conditioned plastic,A,1,4.5,0.653212514
9,breath (count),L171,Pam,1/15/2019,clean plastic,A,2,1.5,0.176091259
10,breath (count),L171,Pam,1/23/2019,dh2o,A,2,2.5,0.397940009
11,breath (count),L171,Pam,1/25/2019,food,A,2,2,0.301029996
12,breath (count),L171,Pam,1/31/2019,conditioned plastic,A,2,11.5,1.06069784
13,breath (count),L172,Jim,1/17/2019,dh2o,A,2,1.5,0.176091259
14,breath (count),L172,Jim,1/25/2019,conditioned plastic,A,2,2.5,0.397940009
15,breath (count),L172,Jim,2/2/2019,food,A,2,1.5,0.176091259
16,breath (count),L173,Kelly,1/15/2019,food,A,3,3,0.477121255
17,breath (count),L173,Kelly,1/25/2019,dh2o,A,3,3,0.477121255
18,breath (count),L173,Kelly,1/27/2019,clean plastic,A,3,1.5,0.176091259
19,breath (count),L173,Kelly,2/2/2019,conditioned plastic,A,3,4.5,0.653212514
20,breath (count),L174,Ryan,1/23/2019,clean plastic,A,3,6,0.77815125
21,breath (count),L174,Ryan,1/27/2019,dh2o,A,3,2.5,0.397940009
22,breath (count),L174,Ryan,1/31/2019,conditioned plastic,A,3,9,0.954242509
23,breath (count),L174,Ryan,2/2/2019,food,A,3,7.5,0.875061263
24,breath (count),L176,Stanley,1/17/2019,dh2o,A,4,1,0
25,breath (count),L176,Stanley,1/23/2019,clean plastic,A,4,1.5,0.176091259
26,breath (count),L176,Stanley,1/31/2019,conditioned plastic,A,4,1,0
27,breath (count),L177,Oscar,1/16/2019,dh2o,B,5,2.5,0.397940009
28,breath (count),L177,Oscar,1/22/2019,clean plastic,B,5,1,0
29,breath (count),L177,Oscar,1/28/2019,conditioned plastic,B,5,5.5,0.740362689
30,breath (count),L177,Oscar,1/30/2019,food,B,5,6,0.77815125
31,breath (count),L178,Angela,1/14/2019,dh2o,B,5,1,0
32,breath (count),L178,Angela,1/24/2019,food,B,5,4,0.602059991
33,breath (count),L178,Angela,1/28/2019,clean plastic,B,5,1.5,0.176091259
34,breath (count),L178,Angela,2/1/2019,conditioned plastic,B,5,6,0.77815125
35,breath (count),L179,Kevin,1/14/2019,dh2o,B,6,3,0.477121255
36,breath (count),L179,Kevin,1/16/2019,food,B,6,2.5,0.397940009
37,breath (count),L179,Kevin,1/22/2019,clean plastic,B,6,3.5,0.544068044
38,breath (count),L179,Kevin,1/28/2019,conditioned plastic,B,6,3,0.477121255
40,breath (count),L180,Meredith,1/16/2019,dh2o,B,6,1,0
41,breath (count),L180,Meredith,1/18/2019,food,B,6,11,1.041392685
42,breath (count),L180,Meredith,1/24/2019,conditioned plastic,B,6,19,1.278753601
43,breath (count),L180,Meredith,2/1/2019,clean plastic,B,6,1,0
44,breath (count),L181,Daryll,1/16/2019,conditioned plastic,B,7,2,0.301029996
45,breath (count),L181,Daryll,1/24/2019,clean plastic,B,7,7.5,0.875061263
46,breath (count),L181,Daryll,1/30/2019,food,B,7,5,0.698970004
47,breath (count),L181,Daryll,2/1/2019,dh2o,B,7,2,0.301029996
48,breath (count),L182,Jan,1/14/2019,food,B,7,7.5,0.875061263
49,breath (count),L182,Jan,1/22/2019,dh2o,B,7,6.5,0.812913357
50,breath (count),L182,Jan,1/24/2019,conditioned plastic,B,7,8.5,0.929418926
51,breath (count),L182,Jan,1/30/2019,clean plastic,B,7,7,0.84509804
52,breath (count),L183,Creed,1/18/2019,dh2o,B,8,4,0.602059991
53,breath (count),L183,Creed,1/22/2019,food,B,8,13.5,1.130333768
54,breath (count),L183,Creed,1/30/2019,clean plastic,B,8,4,0.602059991
55,breath (count),L183,Creed,2/1/2019,conditioned plastic,B,8,10,1
